Netstat - Open Port - TCP - 80 = TCP/80
Netstat - Open Port - TCP - 135 = TCP/135
Netstat - Open Port - TCP - 445 = TCP/445
Netstat - Open Port - TCP - 2072 = TCP/2072
Netstat - Open Port - TCP - 9593 = TCP/9593
Netstat - Open Port - TCP - 9594 = TCP/9594
Netstat - Open Port - TCP - 9595 = TCP/9595
Netstat - Open Port - TCP - 33354 = TCP/33354
Netstat - Open Port - TCP - 1037 = TCP/1037
Netstat - Open Port - TCP - 1065 = TCP/1065
Netstat - Open Port - TCP - 1133 = TCP/1133
Netstat - Open Port - TCP - 2000 = TCP/2000
Netstat - Open Port - TCP - 2204 = TCP/2204
Netstat - Open Port - TCP - 9592 = TCP/9592
Netstat - Open Port - TCP - 21584 = TCP/21584
Netstat - Open Port - TCP - 139 = TCP/139
Netstat - Open Port - TCP - 139 = TCP/139
Netstat - Open Port - TCP - 139 = TCP/139
Netstat - Open Port - UDP - 68 = UDP/68
Netstat - Open Port - UDP - 445 = UDP/445
Netstat - Open Port - UDP - 500 = UDP/500
Netstat - Open Port - UDP - 1084 = UDP/1084
Netstat - Open Port - UDP - 1089 = UDP/1089
Netstat - Open Port - UDP - 1090 = UDP/1090
Netstat - Open Port - UDP - 1514 = UDP/1514
Netstat - Open Port - UDP - 2976 = UDP/2976
Netstat - Open Port - UDP - 4500 = UDP/4500
Netstat - Open Port - UDP - 9595 = UDP/9595
Netstat - Open Port - UDP - 33354 = UDP/33354
Netstat - Open Port - UDP - 33355 = UDP/33355
Netstat - Open Port - UDP - 38293 = UDP/38293
Netstat - Open Port - UDP - 123 = UDP/123
Netstat - Open Port - UDP - 123 = UDP/123
Netstat - Open Port - UDP - 1051 = UDP/1051
Netstat - Open Port - UDP - 1900 = UDP/1900
Netstat - Open Port - UDP - 123 = UDP/123
Netstat - Open Port - UDP - 137 = UDP/137
Netstat - Open Port - UDP - 138 = UDP/138
Netstat - Open Port - UDP - 1900 = UDP/1900
Netstat - Open Port - UDP - 123 = UDP/123
Netstat - Open Port - UDP - 137 = UDP/137
Netstat - Open Port - UDP - 138 = UDP/138
Netstat - Open Port - UDP - 1900 = UDP/1900
Netstat - Open Port - UDP - 123 = UDP/123
Netstat - Open Port - UDP - 137 = UDP/137
Netstat - Open Port - UDP - 138 = UDP/138
Netstat - Open Port - UDP - 1900 = UDP/1900
